"Keyword","Avg. Search Volume (Last Known Values)","Avg. Search Volume (Last 12 months)","Avg. Search Volume (Last 6 months)","Avg. Search Volume (Last 3 months)","Location","CPC/USD","PPC","Keyword Difficulty","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023"
"web designer",250,250,270,260,"Lyon, Auvergne-Rhone-Alpes, France","1.19",23,30,210,210,210,170,170,170,260,260,210,320,480,260,210,170,170,170,170,140,320,260,320,260,320,260,260,260,210,210,210,170,320,320,320,260,320,320,320,320,260,210,140,140,260,320,260,210,320,260
"website design",50,50,40,40,"Lyon, Auvergne-Rhone-Alpes, France","2.24",18,37,10,20,10,20,40,40,30,30,40,50,110,30,20,20,30,20,30,20,20,50,30,20,40,40,40,40,30,30,20,30,20,50,40,40,50,30,70,70,30,70,70,30,40,40,50,30,40,70
"site design",20,20,30,30,"Lyon, Auvergne-Rhone-Alpes, France","1.04",39,32,40,20,20,20,30,20,20,50,40,20,40,30,30,20,20,30,20,10,20,40,30,10,40,30,30,20,20,20,10,10,30,50,40,20,30,50,40,10,20,20,30,20,20,40,50,30,40,20
"creative web",10,10,10,10,"Lyon, Auvergne-Rhone-Alpes, France","",0,28,0,0,0,0,10,0,10,10,10,0,0,10,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,10,0,10,10,10,0,10,0,10,0,0,0,0,10
"web ux",10,10,10,10,"Lyon, Auvergne-Rhone-Alpes, France","",7,,10,10,0,0,10,10,10,0,10,0,0,0,10,10,0,0,0,0,0,0,0,0,10,10,10,0,10,10,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,10,0,0,0,10
"best webdesign",10,10,10,10,"Lyon, Auvergne-Rhone-Alpes, France","",0,,0,10,0,0,10,0,10,0,0,10,10,0,0,10,0,10,10,0,10,10,10,0,10,10,10,0,10,10,0,0,0,0,10,10,10,0,10,10,10,10,10,0,10,10,10,0,10,10
